la_name,la_code,total,rate
Scotland,S92000003,31416,115.448006
Aberdeen City,S12000033,574,46.15298024
Aberdeenshire,S12000034,1175,95.89957886
Angus,S12000041,348,59.70558968
Argyll & Bute,S12000035,1913,389.2642032
Clackmannanshire,S12000005,68,26.90192665
Dumfries & Galloway,S12000006,1755,230.0884956
Dundee City,S12000042,248,32.50072078
East Ayrshire,S12000008,105,17.57704605
East Dunbartonshire,S12000045,55,11.41908024
East Lothian,S12000010,487,93.06858792
East Renfrewshire,S12000011,46,11.26098558
"Edinburgh, City of",S12000036,4827,183.0697463
Falkirk,S12000014,167,21.77626517
Fife,S12000015,2199,120.3118588
Glasgow City,S12000046,967,29.80602963
Highland,S12000017,7160,579.4380422
Inverclyde,S12000018,76,19.04141508
Midlothian,S12000019,135,30.64560065
Moray,S12000020,617,131.1092223
Na h-Eileanan Siar,S12000013,1019,674.9685368
North Ayrshire,S12000021,836,119.0493143
North Lanarkshire,S12000044,150,9.342301943
Orkney,S12000023,561,478.832366
Perth & Kinross,S12000024,1949,255.9892823
Renfrewshire,S12000038,141,15.46188262
Scottish Borders,S12000026,1146,191.0828025
Shetland,S12000027,419,360.3061312
South Ayrshire,S12000028,962,169.6738805
South Lanarkshire,S12000029,211,13.30441253
Stirling,S12000030,903,210.0488486
West Dunbartonshire,S12000039,123,26.69966137
West Lothian,S12000040,74,8.713160405
